City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
cordoba,-31.4135,-64.1811,75.87,37,0,20.71
tanabe,33.7333,135.3667,58.62,81,33,8.39
san andres,12.5847,-81.7006,87.82,70,20,12.66
victoria,22.2855,114.1577,77.79,73,96,8.01
barstow,34.8986,-117.0228,59.99,45,0,6.2
chokurdakh,70.6333,147.9167,3.76,96,99,9.22
piney green,34.716,-77.3202,65.23,72,100,11.5
koumac,-20.5667,164.2833,72.28,92,100,7.38
lake charles,30.2131,-93.2044,82.4,55,40,19.57
wajima,37.4,136.9,54.97,63,97,9.31
stornoway,58.2093,-6.3865,54.64,90,60,5.75
saint-philippe,-21.3585,55.7679,72.99,83,44,10.02
bermejo,-32.8833,-68.8,75.11,29,0,8.05
clyde river,70.4692,-68.5914,25.03,93,100,12.66
namatanai,-3.6667,152.4333,78.1,78,82,0.4
swan hill,-35.3378,143.5544,59.76,98,100,9.04
dingle,10.9995,122.6711,76.26,91,75,5.59
auki,-8.7676,160.7034,76.84,89,98,1.23
jamestown,42.097,-79.2353,68.09,31,0,5.75
colares,38.7992,-9.4469,66.83,85,84,20.0
adrar,20.5022,-10.0711,95.4,10,0,11.01
mumbwa,-14.9783,27.0619,83.14,22,88,5.59
saldanha,-33.0117,17.9442,63.3,87,88,24.9
anchorage,61.2181,-149.9003,26.55,80,0,6.91
marsala,37.7966,12.4352,71.56,88,0,10.36
malanje,-9.5402,16.341,73.4,64,93,2.24
waingapu,-9.6567,120.2641,81.19,82,85,2.59
juba,4.8517,31.5825,75.2,73,86,0.94
xichang,27.8964,102.2634,59.14,90,77,1.12
hinton,53.4001,-117.5857,32.88,76,69,1.77
sambava,-14.2667,50.1667,72.43,84,11,4.83
izumo,35.3667,132.7667,53.55,88,100,9.55
namie,37.4833,141.0,53.01,77,100,6.42
huangnihe,43.5583,128.0239,28.87,80,15,4.32
mopti,14.6667,-4.0,96.53,15,73,7.65
doha,25.2867,51.5333,85.98,62,0,5.75
whitehorse,60.7161,-135.0538,32.13,96,100,3.0
cocorit,27.5833,-109.9667,80.94,57,3,5.61
paamiut,61.994,-49.6678,36.36,98,100,12.39
cierna nad tisou,48.417,22.0887,55.08,80,64,7.05
ariquemes,-9.9133,-63.0408,78.06,80,100,3.49
norrtalje,59.758,18.705,43.99,81,42,2.21
karema,-6.8205,30.4389,78.31,47,90,4.23
general pico,-35.6566,-63.7568,78.08,25,63,15.86
nishihara,26.1842,127.7558,74.48,73,75,26.46
namtsy,62.7161,129.6658,15.17,96,100,4.83
oranjemund,-28.55,16.4333,61.43,94,73,8.7
yeppoon,-23.1333,150.7333,73.18,86,95,2.68
wad madani,14.4012,33.5199,93.24,21,19,12.64
laguna,38.421,-121.4238,58.6,45,0,16.11
lamu,-2.2717,40.902,79.02,87,100,11.72
corinto,37.9407,22.9573,67.89,66,0,2.91
airai,-8.9266,125.4092,62.22,86,88,1.34
sobolevo,54.4299,31.8996,44.33,94,100,6.26
port blair,11.6667,92.75,80.64,83,75,5.75
noumea,-22.2763,166.4572,77.0,99,100,15.28
luba,3.4568,8.5547,78.69,92,100,6.51
nantucket,41.2835,-70.0995,59.29,88,100,8.05
opuwo,-18.0607,13.84,85.17,29,90,13.71
prescott,34.54,-112.4685,50.52,65,75,16.11
belaya gora,68.5333,146.4167,-0.87,91,91,7.31
grindavik,63.8424,-22.4338,41.47,93,75,19.57
ayna,-12.65,-73.9167,68.52,77,99,4.43
darhan,49.4867,105.9228,41.56,45,14,8.19
la primavera,5.4906,-70.4092,89.87,56,82,8.43
malumfashi,11.7853,7.6218,80.82,32,24,7.54
san luis,-33.295,-66.3356,78.08,29,35,13.51
choma,-16.8065,26.9531,78.57,23,100,5.99
te anau,-45.4167,167.7167,51.3,96,100,2.73
cherskiy,68.75,161.3,11.08,95,100,10.58
honiara,-9.4333,159.95,76.39,90,99,3.91
khatanga,71.9667,102.5,11.97,91,84,11.74
port hedland,-20.3167,118.5667,75.25,78,0,16.11
klaksvik,62.2266,-6.589,47.32,85,100,19.64
yulara,-25.2406,130.9889,68.31,46,24,15.57
college,64.8569,-147.8028,28.62,94,100,3.44
olivenza,38.6832,-7.103,66.31,51,97,7.92
sfantu gheorghe,45.8667,25.7833,52.27,91,73,1.83
ambilobe,-13.2,49.05,77.04,66,73,3.62
salamanca,40.8333,-6.0,56.57,63,69,16.71
greymouth,-42.4667,171.2,49.89,86,100,4.45
kirkuk,35.4681,44.3922,76.62,31,0,8.93
ekhabi,53.5102,142.9671,26.87,68,75,5.95
yarada,17.65,83.2667,79.12,73,75,4.61
puerto escondido,15.85,-97.0667,86.83,58,20,8.05
ponta delgada,37.7333,-25.6667,66.92,72,40,10.36
gbadolite,4.2833,21.0167,74.5,92,86,3.58
qandala,11.472,49.8728,81.21,79,53,7.83
rosetown,51.5501,-108.0014,31.98,93,100,14.97
dikson,73.5069,80.5464,25.77,88,100,9.89
bobcaygeon,44.5462,-78.542,69.08,46,27,6.67
kuryk,43.2,51.65,54.41,43,91,8.28
narsaq,60.9167,-46.05,37.62,98,100,7.09
ostrovnoy,68.0531,39.5131,35.89,90,99,14.29
oranjestad,12.524,-70.027,85.95,79,40,9.22
san lazaro,18.0387,-88.6622,81.57,61,1,4.88
geraldton,-28.7667,114.6,63.01,94,75,11.5
eyl,7.9803,49.8164,79.47,77,43,7.67
ilulissat,69.2167,-51.1,33.82,86,75,2.3
cabo san lucas,22.8909,-109.9124,84.74,52,54,8.01
san cristobal,7.7669,-72.225,78.98,64,100,3.33
tezu,27.9167,96.1667,73.08,64,99,2.55
lata,40.1629,-8.3327,62.15,81,66,8.88
mount isa,-20.7333,139.5,83.01,40,38,13.15
nainpur,22.4333,80.1167,63.46,73,0,5.12
kaitangata,-46.2817,169.8464,52.66,86,100,14.34
pangnirtung,66.1451,-65.7125,30.2,86,75,3.44
matara,5.9485,80.5353,77.47,87,100,8.88
bulgan,48.8125,103.5347,40.41,40,16,3.65
marzuq,14.4,46.4667,73.0,53,1,3.96
tadine,-21.55,167.8833,72.41,83,100,21.32
batemans bay,-35.7167,150.1833,63.1,93,100,4.79
terrace bay,48.7834,-87.1,48.92,88,48,11.27
fort pierce,27.4467,-80.3256,81.21,65,0,8.01
fort nelson,58.8053,-122.7002,24.94,89,100,13.8
nichinan,31.6,131.3667,66.52,76,78,4.16
wlodawa,51.55,23.55,54.95,89,84,5.5
dalbandin,28.8947,64.4101,72.07,12,0,4.38
chavakkad,10.5333,76.05,78.85,84,93,4.63
lulea,65.5842,22.1547,37.47,52,0,12.66
tiarei,-17.5333,-149.3333,77.38,77,42,6.76
agudos,-22.4692,-48.9875,87.15,28,0,4.72
sitka,57.0531,-135.33,46.29,61,100,20.71
bethel,41.3712,-73.414,59.23,62,0,3.44
newport,51.5877,-2.9984,56.59,86,67,8.19
pevek,69.7008,170.3133,16.05,95,100,6.17
dudinka,69.4058,86.1778,25.63,97,99,5.21
buraydah,26.326,43.975,81.05,12,0,7.09
takoradi,4.8845,-1.7554,80.82,77,35,8.77
vanimo,-2.6741,141.3028,77.16,88,97,0.49
tura,25.5198,90.2201,69.78,87,98,4.0
nanortalik,60.1432,-45.2371,37.4,99,100,8.48
baeza,37.9938,-3.471,67.42,54,100,7.54
aswan,24.0934,32.907,78.75,28,0,11.88
opportunity,47.6499,-117.2399,40.32,81,100,3.44
ahipara,-35.1667,173.1667,50.2,87,1,2.89
belogorsk,50.9158,128.4611,27.23,65,7,5.57
makakilo city,21.3469,-158.0858,73.29,83,20,10.36
maiduguri,11.8464,13.1603,88.47,40,87,8.66
nouakchott,18.0858,-15.9785,80.53,66,0,13.94
noyabrsk,63.1994,75.4507,28.31,71,77,17.0
caravelas,-17.7125,-39.2481,83.3,61,66,11.23
price,39.5994,-110.8107,42.06,42,20,18.41
rio gallegos,-51.6226,-69.2181,68.05,24,75,20.71
provideniya,64.3833,-173.3,29.84,89,100,4.16
pochutla,15.7432,-96.4661,85.82,70,22,5.12
santa cruz,-17.8,-63.1667,89.65,43,75,9.22
paraiso,9.8383,-83.8656,73.18,67,45,3.85
sao joao da barra,-21.6403,-41.0511,77.36,72,94,11.61
touros,-5.1989,-35.4608,83.86,64,85,14.25
pimenta bueno,-11.6725,-61.1936,77.88,84,100,0.78
langsa,4.4683,97.9683,75.51,95,100,2.04
emba,48.8264,58.1442,40.46,38,100,3.27
bucak,37.4592,30.595,55.92,25,25,1.34
binzhou,37.3667,118.0167,52.66,37,0,4.56
belmonte,-15.8631,-38.8828,81.63,68,35,10.98
mykolayivka,47.5414,30.7561,54.14,86,90,10.67
bahia blanca,-38.7196,-62.2724,73.53,23,97,15.46
humaita,-7.5061,-63.0208,93.79,44,100,3.18
norman wells,65.282,-126.8329,24.84,86,75,2.3
pisco,-13.7,-76.2167,66.25,72,0,10.36
srandakan,-7.9386,110.2506,77.52,88,97,6.11
coos bay,43.3665,-124.2179,47.3,100,75,9.22
wuzhou,23.4833,111.3167,71.04,45,1,3.49
zhezkazgan,47.8043,67.7144,35.65,33,84,5.21
luderitz,-26.6481,15.1594,64.53,74,75,21.0
aden,12.7794,45.0367,83.41,73,12,13.35
cairns,-16.9167,145.7667,80.33,88,40,3.44
galesong,-5.3166,119.3661,77.02,79,93,1.21
sergeyevka,53.88,67.4158,25.23,91,15,10.98
bowen,-20.0167,148.2333,77.05,84,12,9.19
tilichiki,60.4667,166.1,9.16,89,18,6.06
aborlan,9.4352,118.5492,78.08,79,100,4.09
antalaha,-14.9003,50.2788,70.81,86,30,3.94
the valley,18.217,-63.0578,85.06,70,40,10.36
nizhniy tsasuchey,50.5167,115.1333,33.6,56,78,6.85
bukama,-9.2,25.85,74.62,72,65,3.71
belgrade,44.804,20.4651,63.59,70,0,5.75
mareeba,-17.0,145.4333,75.43,93,19,2.17
marrakesh,31.6315,-8.0083,87.87,25,0,9.22
kailua,21.4022,-157.7394,74.52,91,27,15.68
tazovskiy,67.4667,78.7,28.08,86,99,17.13
korla,41.7597,86.1469,53.49,33,50,2.24
sur,22.5667,59.5289,80.26,47,0,3.47
panguna,-6.3164,155.4848,67.91,93,59,1.54
ryotsu,38.0833,138.4333,53.85,69,99,8.3
agara,42.0376,43.8238,49.93,66,71,2.42
imbituba,-28.24,-48.6703,71.35,71,24,10.02
arrifes,37.7667,-25.7,64.65,72,40,10.36
salalah,17.0151,54.0924,80.69,74,0,4.61
naze,28.3667,129.4833,68.92,67,1,18.86
asau,46.4333,26.4,54.52,84,34,5.37
kropotkin,45.4375,40.5756,55.83,46,100,6.13
whitianga,-36.8333,175.7,50.59,91,14,4.61
anupgarh,29.1911,73.2086,80.06,21,0,7.45
bereda,43.2686,-7.5406,59.14,86,97,11.74
agropoli,40.3469,14.9966,66.09,86,46,3.76
saint george,37.1041,-113.5841,52.16,40,0,16.11
clarksburg,39.2807,-80.3445,70.9,35,0,0.0
preobrazheniye,42.9019,133.9064,39.6,64,90,7.65
atherton,53.5237,-2.4935,58.35,88,63,1.01
broome,42.2506,-75.833,61.57,59,0,6.91
soyo,-6.1349,12.3689,78.22,84,96,10.2
volchikha,52.0333,80.3833,35.44,67,100,11.7
kidal,18.4411,1.4078,87.01,11,58,7.54
chulym,55.0997,80.9572,32.14,86,93,13.18
coihaique,-45.5752,-72.0662,49.95,66,75,13.8
longyan,25.1072,117.0225,64.62,84,3,1.77
leshukonskoye,64.8989,45.7622,33.87,85,34,10.09
tessalit,20.1986,1.0114,86.22,12,98,12.19
colimes,-1.55,-80.0167,87.76,47,98,2.98
ust-maya,60.4167,134.5333,13.39,96,95,2.68
chara,56.9064,118.2631,25.54,71,100,1.34
mbala,-8.8402,31.3659,71.24,35,64,0.76
castro,-24.7911,-50.0119,75.49,51,5,7.25
malnate,45.7908,8.8819,60.85,94,100,3.0
dubbo,-32.25,148.6167,57.45,96,9,13.06
trairi,-3.2778,-39.2689,86.38,57,53,14.03
los algarrobos,8.5,-82.4333,82.81,74,40,6.91
chernyshevskiy,63.0128,112.4714,32.77,97,100,11.32
haines junction,60.7522,-137.5108,31.95,69,100,10.36
atambua,-9.1061,124.8925,76.17,84,91,1.32
lima,-12.0432,-77.0282,61.05,72,100,8.05
rawson,-43.3002,-65.1023,76.75,19,63,17.11
lagoa,39.05,-27.9833,64.67,68,92,25.57
kutum,14.2,24.6667,80.38,19,8,14.29
chapais,49.7834,-74.8492,62.38,60,22,7.52
traverse city,44.7631,-85.6206,73.31,53,40,9.22
hede,33.7681,120.2517,53.69,65,1,2.68
kotido,2.9806,34.1331,81.61,33,28,15.97
margate,51.3813,1.3862,57.09,89,100,8.01
aleppo,36.25,37.5,70.0,48,1,5.82
tecoanapa,16.5167,-98.75,83.62,68,12,6.44
brigantine,39.4101,-74.3646,60.49,91,100,16.11
san julian,21.0167,-102.1667,68.67,55,100,10.11
salta,-24.7859,-65.4117,75.58,47,75,10.36
marau,-28.4492,-52.2,73.96,55,5,9.04
constitucion,-35.3333,-72.4167,57.7,59,65,6.89
parabel,58.6978,81.4825,31.73,81,90,13.98
shenjiamen,29.9576,122.298,63.82,61,0,19.75
usinsk,65.9939,57.5281,34.03,98,100,18.63
portland,45.5234,-122.6762,49.17,89,75,7.0
la ronge,55.1001,-105.2842,37.65,81,100,6.91
taormina,37.8536,15.2885,66.74,67,7,2.68
quartucciu,39.2519,9.1794,72.81,82,1,6.91
kontagora,10.3999,5.4695,83.07,42,4,3.47
loandjili,-4.7561,11.8578,78.28,86,70,9.15
talnakh,69.4865,88.3972,25.21,96,100,8.63
bognor regis,50.7821,-0.6798,59.85,91,95,24.9
camabatela,-8.1881,15.375,70.7,77,83,2.46
lompoc,34.6391,-120.4579,62.06,55,0,12.66
todos santos,23.45,-110.2167,77.07,67,57,9.44
kalemie,-5.9475,29.1947,76.46,51,95,3.0
porto de moz,-1.7483,-52.2383,90.23,50,80,3.6
bitkine,11.9801,18.2138,88.3,26,47,5.66
uarini,-2.99,-65.1083,91.58,51,94,4.25
tautira,-17.7333,-149.15,76.8,78,62,5.99
sangar,63.9242,127.4739,12.96,90,100,11.95
chicama,-7.8447,-79.1469,61.34,56,89,10.42
taiobeiras,-15.8078,-42.2331,89.35,32,92,6.11
quatre cocos,-20.2078,57.7625,73.09,81,44,9.89
broken hill,-31.95,141.4333,57.36,95,67,1.59
mandali,33.7499,45.5541,82.89,24,10,3.8
henties bay,-22.116,14.2845,59.79,88,83,11.23
vestmannaeyjar,63.4427,-20.2734,41.99,93,75,19.57
plettenberg bay,-34.0527,23.3716,63.54,92,97,3.22
kamo,37.65,139.05,52.61,96,100,4.74
kavaratti,10.5669,72.642,81.84,74,98,1.1
fukue,32.6881,128.8419,66.87,58,69,16.89
vereya,55.3447,36.1719,41.25,99,100,3.18
luwuk,-0.9516,122.7875,78.49,76,99,2.55
sioux lookout,50.1001,-91.917,55.47,67,20,9.22
okhotsk,59.3833,143.3,19.27,55,96,12.86
grigiskes,54.6833,25.0833,50.05,86,100,4.61
razole,16.4833,81.8333,73.85,82,57,3.87
alofi,-19.0595,-169.9187,75.85,81,100,9.91
derzhavinsk,51.1,66.3167,33.4,57,0,8.34
bima,-8.4667,118.7167,78.84,90,56,2.82
two rivers,44.1539,-87.5693,59.38,83,0,14.97
papara,-3.9839,-38.7273,85.96,64,93,10.65
hasaki,35.7333,140.8333,59.43,77,74,26.55
sisimiut,66.9395,-53.6735,35.46,97,100,6.26
murgab,37.4966,61.9714,55.27,67,75,6.91
cap malheureux,-19.9842,57.6142,73.47,77,30,5.01
eresos,39.1667,25.9333,58.89,68,0,5.35
kenai,60.5544,-151.2583,20.98,100,0,0.0
itaituba,-4.2761,-55.9836,99.7,33,59,2.44
flin flon,54.7682,-101.865,35.44,80,100,11.5
bandarbeyla,9.4942,50.8122,79.03,80,6,4.7
nevelsk,46.6733,141.8633,34.47,62,29,7.99
capela,-10.5033,-37.0528,84.42,55,99,11.1
biltine,14.5333,20.9167,91.58,16,43,8.77
churapcha,62.0025,132.4325,11.98,97,99,4.09
beloha,-25.1667,45.05,72.19,77,45,5.41
asyut,27.181,31.1837,74.19,29,0,8.95
grand-santi,4.25,-54.3833,96.75,35,100,3.47
lincoln,40.8,-96.667,81.09,50,0,29.93
temiscaming,46.7212,-79.0971,67.51,52,13,5.75
waddan,29.1614,16.139,71.85,30,0,9.35
barcelona,41.3888,2.159,72.99,84,20,6.91
camacha,33.0833,-16.3333,67.42,56,20,6.91
jamame,0.0722,42.7506,77.31,84,21,10.38
hokitika,-42.7167,170.9667,50.58,87,100,3.98
williams lake,52.1415,-122.1445,32.05,93,100,6.91
gidam,18.9833,81.4,63.95,84,84,3.27
aguas formosas,-17.0822,-40.9358,89.19,40,89,2.71
kulhudhuffushi,6.6221,73.07,80.89,81,100,11.95
vincennes,48.85,2.4333,68.95,62,0,16.11
ancud,-41.8697,-73.8203,49.78,78,100,18.28
santo antonio do ica,-3.1022,-67.9397,72.9,99,100,4.03
chuy,-33.6971,-53.4616,63.7,79,88,14.32
sawakin,19.1059,37.3321,84.92,69,9,9.55
hvolsvollur,63.7533,-20.2243,41.67,79,97,5.3
hambantota,6.1241,81.1185,79.52,77,98,15.52
parker,32.7668,-97.8003,79.75,58,23,4.0
south lake tahoe,38.9332,-119.9844,33.17,71,75,0.0
caico,-6.4583,-37.0978,96.75,30,83,8.57
boyolangu,-8.1181,111.8935,76.86,89,100,1.5
kahului,20.8947,-156.47,75.34,73,20,10.0
plouzane,48.3833,-4.6167,59.13,88,100,28.77
pacific grove,36.6177,-121.9166,56.08,75,0,4.0
phangnga,8.4509,98.5298,77.04,88,92,2.84
pinega,64.7001,43.3936,34.74,79,25,11.05
trzebiatow,54.0615,15.2648,55.04,84,99,4.61
bardiyah,31.7561,25.0865,69.3,61,0,9.57
hofn,64.2539,-15.2082,41.16,77,100,4.27
thinadhoo,0.5333,72.9333,81.59,76,76,11.97
havelock,34.8791,-76.9013,61.2,89,100,16.11
rio grande,-32.035,-52.0986,63.48,63,59,6.8
nelson bay,-32.7167,152.15,64.08,97,100,8.99
strelka,58.0728,93.0344,32.45,83,99,12.5
kajaani,64.2273,27.7285,37.45,65,0,14.97
athabasca,54.7169,-113.2854,34.21,92,100,1.83
riyadh,24.6877,46.7219,80.74,14,0,5.66
ampanihy,-24.7,44.75,71.87,77,38,6.44
calabozo,8.9242,-67.4293,91.9,51,87,6.26
houma,29.5958,-90.7195,80.02,60,0,18.41
ellisras,-23.6649,27.7443,82.62,34,96,9.19
umm kaddadah,13.6017,26.6876,88.93,11,34,15.64
banyo,6.75,11.8167,67.64,95,99,1.57
pacatuba,-3.9842,-38.6203,86.74,64,91,11.72
tashtagol,52.7657,87.8894,32.38,81,97,14.47
natal,-5.795,-35.2094,84.58,60,97,12.03
santa comba,43.0331,-8.8093,58.44,93,97,10.56
loudon,35.7328,-84.3338,69.06,45,0,2.17
winslow,35.0242,-110.6974,50.18,53,100,18.41
punta alta,-38.8759,-62.0736,71.33,28,100,14.67
mama,58.3106,112.8986,32.99,96,100,7.29
half moon bay,37.4636,-122.4286,58.12,57,0,13.8
beruwala,6.4788,79.9828,77.56,88,100,5.37
chakia,26.4167,85.05,72.57,62,5,6.8
ponta do sol,32.6667,-17.1,71.94,63,99,4.9
severnyy,50.677,36.5532,48.24,93,75,6.71
vao,-22.6667,167.4833,72.68,78,100,24.79
lensk,60.7253,114.9278,36.03,97,100,12.17
pemba,-12.974,40.5178,75.9,83,20,14.97
sokolniki,50.638,21.8065,55.87,84,72,5.68
green river,41.5286,-109.4662,35.19,19,99,5.99
fruitville,27.3298,-82.4576,82.94,55,0,8.99
koshurnikovo,54.1667,93.3,34.48,64,100,13.27
liaozhong,41.5061,122.7242,40.69,48,4,3.65
